ï»¿,name_last,name_first,key_mlbam
7967,Williams, Devin,642207
8000,Brebbia, John,605154
8031,Weaver, Luke,596133
8060,Fried, Max,608331
8077,Holton, Tyler,663947
8114,Flaherty, Jack,656427
8297,Hoffman, Jeff,656546
8310,Weissert, Greg,669711
8343,Gausman, Kevin,592332
8349,Slaten, Justin,686580
8363,Houck, Tanner,656557
8535,Jackson, Luke,592426
8542,Garcia, Robert,676395
8578,Mahle, Tyler,641816
8588,Pearson, Nate,663878
8638,Imanaga, Shota,684007
8779,Abreu, Bryan,650556
8809,Lawrence, Casey,596271
8833,Okert, Steven,595345
8891,Sousa, Bennett,656986
8915,Brown, Hunter,686613
8934,Snider, Collin,676092
8954,Bazardo, Eduard,660825
8988,Castillo, Luis F.,622379
9141,Suarez, Robert,663158
9148,McFarland, T.J.,519008
9153,Sterner, Justin,686993
9175,Adam, Jason,592094
9193,Murdock, Noah,668716
9204,Estrada, Jeremiah,669093
9225,Morejon, Adrian,670970
9253,VÃ¡squez, Randy,681190
9266,Bido, Osvaldo,674370
9404,Jarvis, Bryce,686826
9416,Selby, Colin,681882
9437,Beeks, Jalen,656222
9449,Bowman, Matt,621199
9476,PÃ©rez, Cionel,672335
9498,Pfaadt, Brandon,694297
9528,Kremer, Dean,665152
9688,Anderson, Grant,681982
9702,Vodnik, Victor,680767
9768,Kinley, Tyler,641755
9818,Mears, Nick,683232
9838,Peguero, Elvis,665625
9875,Senzatela, Antonio,622608
9889,Alexander, Tyler,641302
10036,Miller, Erik,669062
10044,Gibaut, Ian,664139
10051,Walker, Ryan,676254
10062,Santillan, Tony,663574
10070,Rogers, Tyler,643511
10086,Barlow, Scott,605130
10089,RodrÃ­guez, Randy,678495
10122,Martinez, Nick,607259
10141,Trivino, Lou,642152
10152,Verlander, Justin,434378
10316,Jansen, Kenley,445276
10352,Burke, Brock,656271
10409,Joyce, Ben,690829
10425,Baz, Shane,669358
10440,Zeferjahn, Ryan,666171
10476,Hendricks, Kyle,543294
10623,Rutledge, Jackson,671131
10643,GarcÃ­a, Luis,472610
10684,Casparius, Ben,676508
10696,Ribalta, Orlando,687377
10755,Wrobleski, Justin,680736
10807,Poche, Colin,621363
10825,Lord, Brad,695418
10960,Mayza, Tim,641835
11049,Skenes, Paul,694973
11072,Gray, Sonny,543243
11293,Henriquez, Ronny,678692
11311,Curry, Xzavion,675540
11328,Holmes, Clay,605280
11345,Faucher, Calvin,676534
11385,Gillispie, Connor,687362
11569,Kerkering, Orion,689147
11617,Wheeler, Zack,554430
11678,Sale, Chris,519242
11832,Barnes, Jacob,606930
11863,Fluharty, Mason,689254
11880,Kelly, Zack,677161
11902,RodrÃ­guez, Yariel,684320
11939,Lucas, Easton,687922
11955,Crochet, Garrett,676979
12134,Hurter, Brant,676428
12149,Cruz, Fernando,518585
12212,Skubal, Tarik,669373
12246,Carrasco, Carlos,471911
12409,Gilbert, Tyler,656457
12455,Smith, Shane,681343
12518,Lively, Ben,594902
12644,Pressly, Ryan,519151
12682,Hodge, Porter,687863
12699,Armstrong, Shawn,542888
12721,Merryweather, Julian,657240
12757,Taillon, Jameson,592791
12773,Webb, Jacob,657097
12807,Corbin, Patrick,571578
12987,Zerpa, Angel,672582
13024,Ragans, Cole,666142
13053,LÃ³pez, Pablo,641154
13228,Hahn, Jesse,534910
13243,Gusto, Ryan,687473
13264,Hader, Josh,623352
13306,King, Bryan,687911
13385,Valdez, Framber,664285
13409,Castillo, Luis,622491
13599,Birdsong, Hayden,806185
13658,Lodolo, Nick,666157
13675,Roupp, Landen,694738
13826,Martinez, Justin,679885
13835,DomÃ­nguez, Seranthony,622554
13849,Puk, A.J.,640462
13867,Baker, Bryan,641329
13871,Akin, Keegan,669211
13881,Miller, Shelby,571946
13888,Kelly, Merrill,518876
13903,Morton, Charlie,450203
14071,Ferguson, Tyler,621053
14086,Peralta, Wandy,593974
14167,Springs, Jeffrey,605488
14205,Cease, Dylan,656302
14421,Herget, Jimmy,623474
14443,Freeland, Kyle,607536
14485,Peralta, Freddy,642547
14652,Stock, Robert,476594
14705,BerrÃ­os, JosÃ©,621244
14764,Fitts, Richard,690916
14972,Ottavino, Adam,493603
14989,RodÃ³n, Carlos,607074
15020,Mize, Casey,663554
15211,Sauer, Matt,669422
15293,May, Dustin,669160
15309,Gore, MacKenzie,669022
15488,Soriano, George,666277
15507,ButtÃ³, JosÃ©,676130
15583,Phillips, Tyler,663969
15596,Senga, Kodai,673540
15613,Bellozo, Valente,678368
